ID,ttr,mtld
SOU07,0.018978102189781,38.275603246969865
BOD12,0.0194029850746268,41.64620291028741
UPL02,0.0190615835777126,39.71158876378938
SPC05,0.019756838905775,42.14872833670943
SOU14,0.0287610619469026,34.76232114467408
UCA05,0.0230263157894736,30.23600316777564
LYO05,0.0220588235294117,52.44587305106037
CVL03,0.0245614035087719,35.94807799962679
LRE11,0.0209677419354838,35.719271411183044
SOU15,0.0175953079178885,35.245946648006495
LDV05,0.021398002853067,37.91959064327485
UCA14,0.0222531293463143,37.62312883371469
PES07,0.0278293135435992,45.98486260220405
OCM13,0.0315315315315315,32.46887803618178
UCA11,0.0217755443886097,44.28660025511388
BOD01,0.0206349206349206,34.078947368421055
ALS10,0.0203193033381712,37.67496589664973
ALS11,0.0206489675516224,40.02083333333333
BOD07,0.0234009360374415,35.04115094608052
SPC04,0.0194902548725637,40.64043432702161
HES08,0.0223214285714285,41.33759190211892
LDV09,0.027027027027027,43.16666666666666
LYO11,0.0227642276422764,37.80579254602604
LOR08,0.0251256281407035,43.66854268624252
PES08,0.0241635687732342,38.724935732647815
BRE14,0.0231788079470198,29.19225668449198
UCA07,0.0257731958762886,39.52332695984704
SPC08,0.0232558139534883,37.697028750150366
LDV08,0.0242214532871972,44.96006137674263
OCM14,0.0219435736677116,34.18709985243717
ALS08,0.0200860832137733,45.17570327773123
BRE16,0.0207100591715976,42.75555555555556
GRE07,0.0245098039215686,32.21052631578947
HES06,0.0295358649789029,24.415550033963747
LYO01,0.021311475409836,38.84179155313352
BFC06,0.0221870047543581,40.08016620415429
OCM08,0.0311890838206627,43.22326812894265
ALS05,0.0233333333333333,42.16708581242716
ALS09,0.0232558139534883,46.30769230769231
BOD04,0.0245183887915936,40.67551612436616
BRE04,0.0226171243941841,31.75541105368245
BOD11,0.0244360902255639,37.08653846153846
SPC09,0.0298165137614678,34.03553076210535
LOR03,0.0197869101978691,40.52233648195947
SEN02,0.0205278592375366,42.61816974463537
GRE01,0.0230088495575221,38.87578612144405
GRE13,0.0204081632653061,35.388888888888886
BFC02,0.0184210526315789,41.34112409571508
NOR04,0.0262626262626262,45.120462794918325
GRE03,0.0238568588469184,30.03020840051436
PES03,0.0260869565217391,37.17009948880178
HES03,0.0289855072463768,47.32611698608193
CFE09,0.0238095238095238,36.361879266042585
HES05,0.0252252252252252,35.46506550218341
SOU09,0.0306345733041575,36.61858974358975
ALS03,0.0195488721804511,40.81117311047723
LDV07,0.0225442834138486,40.609923664122135
CFE05,0.0228384991843393,38.99761021837659
OCM11,0.0276679841897233,28.44442479441153
LRE02,0.0189573459715639,39.2012646092038
HES02,0.0217391304347826,34.84903944526543
LYO02,0.02,39.21568627450981
CFE02,0.0305676855895196,46.70589956069189
POF05,0.0291970802919708,35.090941895082466
BFC10,0.0271317829457364,37.10467011887589
OCM18,0.0226904376012965,43.06557556915202
SPC03,0.0279441117764471,35.61623448835146
UCA02,0.0256410256410256,39.80278884462152
CVL01,0.0263653483992467,34.843396226415095
OCM07,0.0217391304347826,44.49638517151208
LRE09,0.022944550669216,31.341160997797697
SOU01,0.0191740412979351,42.11896459563047
UPS10,0.0164158686730506,30.067115384615384
HES01,0.0229007633587786,25.79316770186336
NOR05,0.0232945091514143,33.42117988394584
SOU13,0.0188405797101449,43.24204070981211
ALS04,0.0196078431372549,42.83426505655291
NOR12,0.0199430199430199,33.307770103601385
LYO10,0.0205580029368575,39.29975031953156
PES04,0.0465116279069767,33.27236768518989
SOU10,0.0186915887850467,39.37875061993718
PES06,0.0246212121212121,50.705572755417954
NOR10,0.0255402750491159,27.93039273599809
SEN01,0.0250447227191413,42.1999076647557
BFC09,0.0248226950354609,42.85955649319409
LOR02,0.0249554367201426,42.48897092854121
POF03,0.0201438848920863,29.92420575552231
UPS04,0.0221465076660988,35.74968047034765
OCM10,0.0227272727272727,36.075
CVL02,0.01804511278195489,36.34811046511628
